"","Down","FP","10","11","12","13","14","15","16","17","18","19","20"
"1",1,1,-0.484719249131451,-0.588519453842472,-0.692319658553492,-0.796119863264513,-0.899920067975533,-1.00372027268655,-1.10752047739757,-1.21132068210859,-1.31512088681962,-1.41892109153064,-1.52272129624166
"2",1,2,-0.425703091014203,-0.529503295725224,-0.633303500436244,-0.737103705147265,-0.840903909858285,-0.944704114569306,-1.04850431928033,-1.15230452399135,-1.25610472870237,-1.35990493341339,-1.46370513812441
"3",1,3,-0.366686932896955,-0.470487137607975,-0.574287342318996,-0.678087547030016,-0.781887751741037,-0.885687956452057,-0.989488161163078,-1.0932883658741,-1.19708857058512,-1.30088877529614,-1.40468898000716
"4",1,4,-0.307670774779707,-0.411470979490727,-0.515271184201748,-0.619071388912768,-0.722871593623789,-0.826671798334809,-0.93047200304583,-1.03427220775685,-1.13807241246787,-1.24187261717889,-1.34567282188991
"5",1,5,-0.248654616662458,-0.352454821373479,-0.456255026084499,-0.56005523079552,-0.663855435506541,-0.767655640217561,-0.871455844928582,-0.975256049639602,-1.07905625435062,-1.18285645906164,-1.28665666377266
"6",1,6,-0.18963845854521,-0.293438663256231,-0.397238867967251,-0.501039072678272,-0.604839277389292,-0.708639482100313,-0.812439686811333,-0.916239891522354,-1.02004009623337,-1.1238403009444,-1.22764050565542
"7",1,7,-0.130622300427962,-0.234422505138982,-0.338222709850003,-0.442022914561023,-0.545823119272044,-0.649623323983064,-0.753423528694085,-0.857223733405105,-0.961023938116126,-1.06482414282715,-1.16862434753817
"8",1,8,-0.0716061423107135,-0.175406347021734,-0.279206551732755,-0.383006756443775,-0.486806961154796,-0.590607165865816,-0.694407370576837,-0.798207575287857,-0.902007779998878,-1.0058079847099,-1.10960818942092
"9",1,9,-0.0125899841934654,-0.116390188904486,-0.220190393615507,-0.323990598326527,-0.427790803037548,-0.531591007748568,-0.635391212459589,-0.739191417170609,-0.84299162188163,-0.94679182659265,-1.05059203130367
"10",1,10,0.0464261739237829,-0.0573740307872378,-0.161174235498258,-0.264974440209279,-0.368774644920299,-0.47257484963132,-0.57637505434234,-0.680175259053361,-0.783975463764381,-0.887775668475402,-0.991575873186422
"11",1,11,0.105442332041031,0.00164212733001046,-0.10215807738101,-0.20595828209203,-0.309758486803051,-0.413558691514072,-0.517358896225092,-0.621159100936112,-0.724959305647133,-0.828759510358154,-0.932559715069174
"12",1,12,0.164458490158279,0.0606582854472587,-0.0431419192637618,-0.146942123974782,-0.250742328685803,-0.354542533396823,-0.458342738107844,-0.562142942818864,-0.665943147529885,-0.769743352240906,-0.873543556951926
"13",1,13,0.223474648275528,0.119674443564507,0.0158742388534865,-0.087925965857534,-0.191726170568555,-0.295526375279575,-0.399326579990596,-0.503126784701616,-0.606926989412637,-0.710727194123657,-0.814527398834678
"14",1,14,0.282490806392776,0.178690601681755,0.0748903969707346,-0.0289098077402858,-0.132710012451307,-0.236510217162327,-0.340310421873348,-0.444110626584368,-0.547910831295389,-0.651711036006409,-0.755511240717429
"15",1,15,0.341506964510024,0.237706759799003,0.133906555087983,0.0301063503769624,-0.0736938543340583,-0.177494059045079,-0.281294263756099,-0.38509446846712,-0.48889467317814,-0.592694877889161,-0.696495082600181
"16",1,16,0.400523122627272,0.296722917916252,0.192922713205231,0.0891225084942107,-0.01467769621681,-0.11847790092783,-0.222278105638851,-0.326078310349871,-0.429878515060892,-0.533678719771913,-0.637478924482933
"17",1,17,0.459539280744521,0.3557390760335,0.251938871322479,0.148138666611459,0.0443384619004382,-0.0594617428105821,-0.163261947521603,-0.267062152232623,-0.370862356943644,-0.474662561654664,-0.578462766365685
"18",1,18,0.518555438861769,0.414755234150748,0.310955029439728,0.207154824728707,0.103354620017686,-0.000445584693334,-0.104245789404355,-0.208045994115375,-0.311846198826396,-0.415646403537416,-0.519446608248437
"19",1,19,0.577571596979017,0.473771392267996,0.369971187556976,0.266170982845955,0.162370778134935,0.0585705734239144,-0.0452296312871063,-0.149029835998127,-0.252830040709147,-0.356630245420168,-0.460430450131188
"20",1,20,0.636587755096265,0.532787550385245,0.428987345674224,0.325187140963204,0.221386936252183,0.117586731541163,0.0137865268301418,-0.0900136778808784,-0.193813882591899,-0.29761408730292,-0.40141429201394
"21",1,21,0.695603913213514,0.591803708502493,0.488003503791472,0.384203299080452,0.280403094369431,0.176602889658411,0.0728026849473902,-0.0309975197636301,-0.134797724474651,-0.238597929185671,-0.342398133896692
"22",1,22,0.754620071330762,0.650819866619741,0.547019661908721,0.4432194571977,0.339419252486679,0.235619047775659,0.131818843064638,0.0280186383536181,-0.0757815663574026,-0.179581771068423,-0.283381975779444
"23",1,23,0.81363622944801,0.709836024736989,0.606035820025969,0.502235615314948,0.398435410603928,0.294635205892907,0.190835001181886,0.0870347964708662,-0.0167654082401545,-0.120565612951175,-0.224365817662195
"24",1,24,0.872652387565258,0.768852182854238,0.665051978143217,0.561251773432197,0.457451568721176,0.353651364010156,0.249851159299135,0.146050954588115,0.0422507498770939,-0.0615494548339268,-0.165349659544947
"25",1,25,0.931668545682506,0.827868340971486,0.724068136260465,0.620267931549445,0.516467726838424,0.412667522127404,0.308867317416383,0.205067112705363,0.101266907994342,-0.00253329671667868,-0.106333501427699
"26",1,26,0.990684703799755,0.886884499088734,0.783084294377714,0.679284089666693,0.575483884955672,0.471683680244652,0.367883475533631,0.264083270822611,0.16028306611159,0.0564828614005697,-0.0473173433104506
"27",1,27,1.049700861917,0.945900657205982,0.842100452494962,0.738300247783941,0.634500043072921,0.5306998383619,0.426899633650879,0.323099428939859,0.219299224228839,0.115499019517818,0.0116988148067976
"28",1,28,1.10871702003425,1.00491681532323,0.90111661061221,0.797316405901189,0.693516201190169,0.589715996479148,0.485915791768128,0.382115587057107,0.278315382346087,0.174515177635066,0.0707149729240457
"29",1,29,1.1677331781515,1.06393297344048,0.960132768729458,0.856332564018438,0.752532359307417,0.648732154596397,0.544931949885376,0.441131745174356,0.337331540463335,0.233531335752314,0.129731131041294
"30",1,30,1.22674933626875,1.12294913155773,1.01914892684671,0.915348722135686,0.811548517424665,0.707748312713645,0.603948108002624,0.500147903291604,0.396347698580583,0.292547493869562,0.188747289158542
"31",1,31,1.285765494386,1.18196528967498,1.07816508496395,0.974364880252934,0.870564675541914,0.766764470830893,0.662964266119872,0.559164061408852,0.455363856697832,0.351563651986811,0.247763447275791
"32",1,32,1.34478165250324,1.24098144779222,1.1371812430812,1.03338103837018,0.929580833659162,0.825780628948141,0.721980424237121,0.6181802195261,0.51438001481508,0.410579810104059,0.306779605393039
"33",1,33,1.40379781062049,1.29999760590947,1.19619740119845,1.09239719648743,0.98859699177641,0.884796787065389,0.780996582354369,0.677196377643349,0.573396172932328,0.469595968221307,0.365795763510287
"34",1,34,1.46281396873774,1.35901376402672,1.2552135593157,1.15141335460468,1.04761314989366,0.943812945182638,0.840012740471617,0.736212535760597,0.632412331049576,0.528612126338555,0.424811921627535
"35",1,35,1.52183012685499,1.41802992214397,1.31422971743295,1.21042951272193,1.10662930801091,1.00282910329989,0.899028898588865,0.795228693877845,0.691428489166825,0.587628284455804,0.483828079744784
"36",1,36,1.58084628497224,1.47704608026122,1.3732458755502,1.26944567083918,1.16564546612815,1.06184526141713,0.958045056706113,0.854244851995093,0.750444647284072,0.646644442573052,0.542844237862032
"37",1,37,1.63986244308949,1.53606223837846,1.43226203366744,1.32846182895642,1.2246616242454,1.12086141953438,1.01706121482336,0.913261010112342,0.809460805401321,0.7056606006903,0.60186039597928
"38",1,38,1.69887860120673,1.59507839649571,1.49127819178469,1.38747798707367,1.28367778236265,1.17987757765163,1.07607737294061,0.97227716822959,0.868476963518569,0.764676758807548,0.660876554096528
"39",1,39,1.75789475932398,1.65409455461296,1.55029434990194,1.44649414519092,1.3426939404799,1.23889373576888,1.13509353105786,1.03129332634684,0.927493121635817,0.823692916924796,0.719892712213776
"40",1,40,1.81691091744123,1.71311071273021,1.60931050801919,1.50551030330817,1.40171009859715,1.29790989388613,1.19410968917511,1.09030948446409,0.986509279753065,0.882709075042045,0.778908870331025
"41",1,41,1.87592707555848,1.77212687084746,1.66832666613644,1.56452646142542,1.4607262567144,1.35692605200338,1.25312584729235,1.14932564258133,1.04552543787031,0.941725233159293,0.837925028448273
"42",1,42,1.93494323367573,1.83114302896471,1.72734282425369,1.62354261954266,1.51974241483164,1.41594221012062,1.3121420054096,1.20834180069858,1.10454159598756,1.00074139127654,0.896941186565521
"43",1,43,1.99395939179297,1.89015918708195,1.78635898237093,1.68255877765991,1.57875857294889,1.47495836823787,1.37115816352685,1.26735795881583,1.16355775410481,1.05975754939379,0.955957344682769
"44",1,44,2.05297554991022,1.9491753451992,1.84537514048818,1.74157493577716,1.63777473106614,1.53397452635512,1.4301743216441,1.32637411693308,1.22257391222206,1.11877370751104,1.01497350280002
"45",1,45,2.11199170802747,2.00819150331645,1.90439129860543,1.80059109389441,1.69679088918339,1.59299068447237,1.48919047976135,1.38539027505033,1.28159007033931,1.17778986562829,1.07398966091727
"46",1,46,2.17100786614472,2.0672076614337,1.96340745672268,1.85960725201166,1.75580704730064,1.65200684258962,1.5482066378786,1.44440643316758,1.34060622845655,1.23680602374553,1.13300581903451
"47",1,47,2.23002402426197,2.12622381955095,2.02242361483993,1.91862341012891,1.81482320541788,1.71102300070686,1.60722279599584,1.50342259128482,1.3996223865738,1.29582218186278,1.19202197715176
"48",1,48,2.28904018237922,2.18523997766819,2.08143977295717,1.97763956824615,1.87383936353513,1.77003915882411,1.66623895411309,1.56243874940207,1.45863854469105,1.35483833998003,1.25103813526901
"49",1,49,2.34805634049646,2.24425613578544,2.14045593107442,2.0366557263634,1.93285552165238,1.82905531694136,1.72525511223034,1.62145490751932,1.5176547028083,1.41385449809728,1.31005429338626
"50",1,50,2.40707249861371,2.30327229390269,2.19947208919167,2.09567188448065,1.99187167976963,1.88807147505861,1.78427127034759,1.68047106563657,1.57667086092555,1.47287065621453,1.36907045150351
"51",1,51,2.46608865673096,2.36228845201994,2.25848824730892,2.1546880425979,2.05088783788688,1.94708763317586,1.84328742846484,1.73948722375382,1.6356870190428,1.53188681433178,1.42808660962076
"52",1,52,2.52510481484821,2.42130461013719,2.31750440542617,2.21370420071515,2.10990399600413,2.00610379129311,1.90230358658209,1.79850338187107,1.69470317716004,1.59090297244902,1.487102767738
"53",1,53,2.58412097296546,2.48032076825444,2.37652056354342,2.27272035883239,2.16892015412137,2.06511994941035,1.96131974469933,1.85751953998831,1.75371933527729,1.64991913056627,1.54611892585525
"54",1,54,2.6431371310827,2.53933692637168,2.43553672166066,2.33173651694964,2.22793631223862,2.1241361075276,2.02033590281658,1.91653569810556,1.81273549339454,1.70893528868352,1.6051350839725
"55",1,55,2.70215328919995,2.59835308448893,2.49455287977791,2.39075267506689,2.28695247035587,2.18315226564485,2.07935206093383,1.97555185622281,1.87175165151179,1.76795144680077,1.66415124208975
"56",1,56,2.7611694473172,2.65736924260618,2.55356903789516,2.44976883318414,2.34596862847312,2.2421684237621,2.13836821905108,2.03456801434006,1.93076780962904,1.82696760491802,1.723167400207
"57",1,57,2.82018560543445,2.71638540072343,2.61258519601241,2.50878499130139,2.40498478659037,2.30118458187935,2.19738437716833,2.09358417245731,1.98978396774629,1.88598376303526,1.78218355832424
"58",1,58,2.8792017635517,2.77540155884068,2.67160135412966,2.56780114941864,2.46400094470762,2.3602007399966,2.25640053528557,2.15260033057455,2.04880012586353,1.94499992115251,1.84119971644149
"59",1,59,2.93821792166895,2.83441771695793,2.7306175122469,2.62681730753588,2.52301710282486,2.41921689811384,2.31541669340282,2.2116164886918,2.10781628398078,2.00401607926976,1.90021587455874
"60",1,60,2.99723407978619,2.89343387507517,2.78963367036415,2.68583346565313,2.58203326094211,2.47823305623109,2.37443285152007,2.27063264680905,2.16683244209803,2.06303223738701,1.95923203267599
"61",1,61,3.05625023790344,2.95245003319242,2.8486498284814,2.74484962377038,2.64104941905936,2.53724921434834,2.43344900963732,2.3296488049263,2.22584860021528,2.12204839550426,2.01824819079324
"62",1,62,3.11526639602069,3.01146619130967,2.90766598659865,2.80386578188763,2.70006557717661,2.59626537246559,2.49246516775457,2.38866496304355,2.28486475833253,2.18106455362151,2.07726434891049
"63",1,63,3.17428255413794,3.07048234942692,2.9666821447159,2.86288194000488,2.75908173529386,2.65528153058284,2.55148132587182,2.4476811211608,2.34388091644977,2.24008071173875,2.13628050702773
"64",1,64,3.23329871225519,3.12949850754417,3.02569830283315,2.92189809812213,2.8180978934111,2.71429768870008,2.61049748398906,2.50669727927804,2.40289707456702,2.299096869856,2.19529666514498
"65",1,65,3.29231487037244,3.18851466566141,3.08471446095039,2.98091425623937,2.87711405152835,2.77331384681733,2.66951364210631,2.56571343739529,2.46191323268427,2.35811302797325,2.25431282326223
"66",1,66,3.35133102848968,3.24753082377866,3.14373061906764,3.03993041435662,2.9361302096456,2.83233000493458,2.72852980022356,2.62472959551254,2.52092939080152,2.4171291860905,2.31332898137948
"67",1,67,3.41034718660693,3.30654698189591,3.20274677718489,3.09894657247387,2.99514636776285,2.89134616305183,2.78754595834081,2.68374575362979,2.57994554891877,2.47614534420775,2.37234513949673
"68",1,68,3.46936334472418,3.36556314001316,3.26176293530214,3.15796273059112,3.0541625258801,2.95036232116908,2.84656211645806,2.74276191174704,2.63896170703602,2.535161502325,2.43136129761398
"69",1,69,3.52837950284143,3.42457929813041,3.32077909341939,3.21697888870837,3.11317868399735,3.00937847928633,2.9055782745753,2.80177806986428,2.69797786515326,2.59417766044224,2.49037745573122
"70",1,70,3.58739566095868,3.48359545624766,3.37979525153664,3.27599504682562,3.17219484211459,3.06839463740357,2.96459443269255,2.86079422798153,2.75699402327051,2.65319381855949,2.54939361384847
"71",1,71,3.64641181907592,3.5426116143649,3.43881140965388,3.33501120494286,3.23121100023184,3.12741079552082,3.0236105908098,2.91981038609878,2.81601018138776,2.71220997667674,2.60840977196572
"72",1,72,3.70542797719317,3.60162777248215,3.49782756777113,3.39402736306011,3.29022715834909,3.18642695363807,3.08262674892705,2.97882654421603,2.87502633950501,2.77122613479399,2.66742593008297
"73",1,73,3.76444413531042,3.6606439305994,3.55684372588838,3.45304352117736,3.34924331646634,3.24544311175532,3.1416429070443,3.03784270233328,2.93404249762226,2.83024229291124,2.72644208820022
"74",1,74,3.82346029342767,3.71966008871665,3.61585988400563,3.51205967929461,3.40825947458359,3.30445926987257,3.20065906516155,3.09685886045053,2.99305865573951,2.88925845102848,2.78545824631746
"75",1,75,3.88247645154492,3.7786762468339,3.67487604212288,3.57107583741186,3.46727563270084,3.36347542798981,3.25967522327879,3.15587501856777,3.05207481385675,2.94827460914573,2.84447440443471
"76",1,76,3.94149260966217,3.83769240495115,3.73389220024013,3.6300919955291,3.52629179081808,3.42249158610706,3.31869138139604,3.21489117668502,3.111090971974,3.00729076726298,2.90349056255196
"77",1,77,4.00050876777941,3.89670856306839,3.79290835835737,3.68910815364635,3.58530794893533,3.48150774422431,3.37770753951329,3.27390733480227,3.17010713009125,3.06630692538023,2.96250672066921
"78",1,78,4.05952492589666,3.95572472118564,3.85192451647462,3.7481243117636,3.64432410705258,3.54052390234156,3.43672369763054,3.33292349291952,3.2291232882085,3.12532308349748,3.02152287878646
"79",1,79,4.11854108401391,4.01474087930289,3.91094067459187,3.80714046988085,3.70334026516983,3.59954006045881,3.49573985574779,3.39193965103677,3.28813944632575,3.18433924161473,3.08053903690371
"80",1,80,4.17755724213116,4.07375703742014,3.96995683270912,3.8661566279981,3.76235642328708,3.65855621857606,3.55475601386504,3.45095580915402,3.34715560444299,3.24335539973197,3.13955519502095
"81",1,81,4.23657340024841,4.13277319553739,4.02897299082637,3.92517278611535,3.82137258140432,3.7175723766933,3.61377217198228,3.50997196727126,3.40617176256024,3.30237155784922,NA
"82",1,82,4.29558955836566,4.19178935365464,4.08798914894361,3.98418894423259,3.88038873952157,3.77658853481055,3.67278833009953,3.56898812538851,3.46518792067749,NA,NA
"83",1,83,4.3546057164829,4.25080551177188,4.14700530706086,4.04320510234984,3.93940489763882,3.8356046929278,3.73180448821678,3.62800428350576,NA,NA,NA
"84",1,84,4.41362187460015,4.30982166988913,4.20602146517811,4.10222126046709,3.99842105575607,3.89462085104505,3.79082064633403,NA,NA,NA,NA
"85",1,85,4.4726380327174,4.36883782800638,4.26503762329536,4.16123741858434,4.05743721387332,3.9536370091623,NA,NA,NA,NA,NA
"86",1,86,4.53165419083465,4.42785398612363,4.32405378141261,4.22025357670159,4.11645337199057,NA,NA,NA,NA,NA,NA
"87",1,87,4.5906703489519,4.48687014424088,4.38306993952986,4.27926973481884,NA,NA,NA,NA,NA,NA,NA
"88",1,88,4.64968650706914,4.54588630235812,4.4420860976471,NA,NA,NA,NA,NA,NA,NA,NA
"89",1,89,4.70870266518639,4.60490246047537,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1,90,4.76771882330364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
